rank,lemma,gloss,kind,ref_count,ref_coverage
951,ἀναπαύω,"to make to cease, to stop",L,12,90.5470
952,ἀσκός,"a leathern-bag, a wine-skin",L,12,90.5557
953,ἄδικος,"wrong-doing, unrighteous, unjust",L,12,90.5644
954,ἐξάγω,to lead out,L,12,90.5732
955,ἔθος,"custom, habit",L,12,90.5819
956,ἔσωθεν,from within,L,12,90.5906
957,ὀδούς,tooth,L,12,90.5993
958,ὅραμα,"that which is seen, a sight, spectacle",L,12,90.6081
959,ὅριον,"a boundary, limit",L,12,90.6168
960,ὑγιαίνω,"to be sound, healthy",L,12,90.6255
961,ῥάβδος,"a rod, wand, stick, switch",L,12,90.6342
962,Ῥωμαῖος,,L,12,90.6429
963,Βαραββᾶς,,L,11,90.6509
964,Γαλιλαῖος,,L,11,90.6589
965,Ζαχαρίας,,L,11,90.6669
966,Θωμᾶς,,L,11,90.6749
967,Σαμάρεια,,L,11,90.6829
968,Τύρος,,L,11,90.6909
969,βρῶσις,meat,L,11,90.6989
970,γέμω,to be full,L,11,90.7069
971,διαμερίζω,to distribute,L,11,90.7149
972,δωρεά,"a gift, present",L,11,90.7229
973,δόλος,"a bait, trap, cunning",L,11,90.7309
974,εἰσάγω,to lead in,L,11,90.7389
975,εἴδωλον,"an image, a phantom",L,11,90.7469
976,εἴκοσιν,,L,11,90.7549
977,ζηλόω,"to rival, vie with, emulate",L,11,90.7629
978,ζῳοποιέω,,L,11,90.7709
979,θάπτω,"to bury, to honour with funeral rites",L,11,90.7789
980,θανατόω,to put to death,L,11,90.7869
981,κέρας,the horn of an animal,L,11,90.7949
982,κακία,badness,L,11,90.8029
983,καταβολή,a throwing,L,11,90.8109
984,κατακαίω,"to burn down, burn completely",L,11,90.8189
985,κατασκευάζω,to equip,L,11,90.8269
986,καύχημα,"a boast, vaunt",L,11,90.8349
987,καύχησις,reason to boast,L,11,90.8429
988,κλάδος,a young slip,L,11,90.8509
989,κλῆρος,"lot, casting of lots, allotment",L,11,90.8589
990,κλῆσις,"a calling, call",L,11,90.8669
991,κράβαττος,,L,11,90.8749
992,λίμνη,a pool of standing water; a lake,L,11,90.8829
993,μακρός,long,L,11,90.8909
994,μετρέω,to measure in any way,L,11,90.8988
995,νόσος,"sickness, disease, malady",L,11,90.9068
996,πηγή,"running waters, streams",L,11,90.9148
997,ποιμαίνω,to be shepherd,L,11,90.9228
998,πραΰτης,,L,11,90.9308
999,πρότερος,"before, earlier",L,11,90.9388
1000,πρᾶγμα,"that which has been done, a deed, act",L,11,90.9468
1001,σάλπιγξ,"a war-trumpet, trump",L,11,90.9548
1002,σπλάγχνον,the inward parts,L,11,90.9628
1003,σπλαγχνίζομαι,,L,11,90.9708
1004,σπουδάζω,to make haste,L,11,90.9788
1005,συγγενής,"born with, congenital, natural, in-born",L,11,90.9868
1006,σφόδρα,"very, very much, exceedingly, violently",L,11,90.9948
1007,σχίζω,"to split, cleave",L,11,91.0028
1008,τελευτάω,"to complete, finish, accomplish; pple. finally, in the end",L,11,91.0108
1009,τριάκοντα,thirty,L,11,91.0188
1010,φυτεύω,to plant,L,11,91.0268
1011,φωτίζω,"to enlighten, illuminate: to instruct, teach",L,11,91.0348
1012,χίλιοι,a thousand,L,11,91.0428
1013,χείρων,"worse, meaner, inferior",L,11,91.0508
1014,χιτών,"the garment worn next the skin, a frock",L,11,91.0588
1015,χράομαι,"use, experience",L,11,91.0668
1016,ψευδοπροφήτης,"false, lying prophet",L,11,91.0748
1017,ἀγαλλιάω,to rejoice exceedingly,L,11,91.0828
1018,ἀγορά,an assembly of the people,L,11,91.0908
1019,ἀνατολή,"a rising, rise",L,11,91.0988
1020,ἀντιλέγω,"to speak against, gainsay, contradict",L,11,91.1068
1021,ἀπαρνέομαι,"to deny utterly, deny",L,11,91.1148
1022,ἀπιστία,"disbelief, distrust, mistrust",L,11,91.1228
1023,ἀρχαῖος,from the beginning,L,11,91.1308
1024,ἄφρων,without sense,L,11,91.1388
1025,ἅλυσις,a chain,L,11,91.1467
1026,Ἀγρίππας,,L,11,91.1547
1027,Ἁνανίας,,L,11,91.1627
1028,ἐάω,"to let, suffer, allow, permit",L,11,91.1707
1029,ἐλευθερία,"freedom, liberty",L,11,91.1787
1030,ἐμβλέπω,"to look in the face, look at",L,11,91.1867
