rank,lemma,gloss,kind,ref_count,ref_coverage
804,πλοῦτος,"wealth, riches",,56,86.29
805,μουσικός,"musical, skilled in music, elegant",,56,86.3
806,συναγωγή,"a bringing together, uniting",L,56,86.31
807,κράζω,to croak,L,56,86.33
808,τυφλός,blind,L,56,86.34
809,δημιουργός,"one who works for the people, a skilled workman, handicraftsman",L,56,86.35
810,παρασάγγης,a parasang,,56,86.36
811,εἴωθα,to be accustomed,,55,86.37
812,δράω,to do,L,55,86.39
813,διαβάλλω,to throw over,L,55,86.4
814,τεκμήριον,a sure signs.,,55,86.41
815,σχεδόν,"close, near, hard by, nigh",,55,86.42
816,ἀμφί,on both sides,,55,86.43
817,ὡσαύτως,"in like manner, just so",,55,86.44
818,κατήγορος,an accuser,,55,86.46
819,σφέτερος,"their own, their",,54,86.47
820,συνίημι,to bring together; understand,L,54,86.48
821,ἡσυχία,"stillness, rest, quiet",,54,86.49
822,κέρας,the horn of an animal,,54,86.5
823,συγγνώμη,forgiveness,,54,86.51
824,ἀγνοέω,"not to perceive, be ignorant of",L,54,86.52
825,ἀπολείπω,to leave over,L,54,86.54
826,μνᾶ,"a weight, 1 mina=100 drachmae",,54,86.55
827,φιλοσοφία,"love of knowledge and wisdom, pursuit thereof, speculation, study",L,54,86.56
828,καθαρός,"clear of dirt, clean, spotless, unsoiled",,54,86.57
829,κακία,badness,L,54,86.58
830,εὐαγγελίζομαι,"to bring good news, announce them",L,54,86.59
831,τεσσαράκοντα,forty,,53,86.6
832,νέα,fallow land (LSJ νειός),,53,86.62
833,σταυρόω,to fence with pales; to crucify,L,53,86.63
834,ὅπῃ,where,F,53,86.64
835,καταλύω,"to put down, destroy; settle (disputes); lodge, rest",L,53,86.65
836,ἀέκων,"against one's will, unwilling",L,53,86.66
837,ἄκων2,against one's will > ἀέκων,L,53,86.67
838,ἀνέχω,"to hold up; (mid.) endure, put up with",L,53,86.68
839,ἐλάχιστος,"the smallest, least",,53,86.7
840,δῶρον,"a gift, present",,53,86.71
841,κατοικέω,to settle; to inhabit,L,53,86.72
842,οὐδαμῶς,in no wise,,53,86.73
843,νῦν δή,just now,,53,86.74
844,καταψηφίζομαι,to vote against,L,53,86.75
845,προδίδωμι,"to give beforehand, pay in advance; to betray, surrender",L,52,86.76
846,τριήρης,trireme,L,52,86.77
847,ὑβρίζω,"to wax wanton, run riot",L,52,86.79
848,φιλία,"friendly love, affection, friendship",L,52,86.8
849,προστίθημι,"to add, to apply, to close (a door); mid. to join (a group), take as an ally",L,52,86.81
850,εἰκός,like truth,,52,86.82
